user_id,created_at,text,county,city,topic_related,dis_related,dmg_related,sentiment
18156162,8/27/2017,"Do not get in your attic, get on roof instead. Stay on hold with 911 till they get to you. #prayfortexas #prayforhouston",Harris County,Estates of Highland Creek,1,1,1,-1
94001295,8/26/2017,"Spotr 7 miles SW of PORTLAND, TX @ 00:56 UTC OtherWind (70mph)&gt;-Fallen signal light along with building roof removed from Enterprise renta",Nueces County,Corpus Christi,1,1,1,0
{'$numberLong': '2849942284'},9/16/2017,"Burglary suspects bust through roof, ransack Family Dollar in NW Houston https://t.co/3ka6neJlvf",Harris County,Houston,0,0,0,
1048637802,9/9/2017,Yeah I'm on a roof.  Yeah I love my Aggiesâ¤ï¸ @ The Cottages https://t.co/vVH0wml4yl,Brazos County,College Station,0,0,0,
{'$numberLong': '2875348629'},8/26/2017,Hurricane Harvey rips roofs off Fort Bend County homes https://t.co/UQeV0HzmPQ,Fort Bend County,Sugar Land,1,1,1,0
182208659,8/27/2017,"Fuck you, Harvey!
Blue truck=Todd
Black car=Chadwick 
Blue roof that you can barely?? https://t.co/uZqo3OWuWT",Harris County,Houston,0,1,1,-1
35246187,9/4/2017,"Brings back msmoriesd of the chow line.

Tin Roof BBQ made it possible to feed 10 hungry?? https://t.co/h7jEejNvm9",Walker County,Huntsville,0,0,0,
42748815,8/31/2017,"#Harvey took the roof and destroyed most all of Church Unlimited in #rockport 

SONY A7 RII?? https://t.co/Mh9txFOOPw",Aransas County,Rockport,1,1,1,0
{'$numberLong': '2874328108'},8/26/2017,Hurricane Harvey rips roofs off Fort Bend County homes https://t.co/EMT1qzVWN9,Fort Bend County,Rosenberg,1,1,1,0
28177259,8/27/2017,Rain coming off the roof with a little lightning mixed in during Harvey. #hurricaneharvey?? https://t.co/Tt8UQDb1KC,Fort Bend County,Trammels,0,1,0,0
{'$numberLong': '2491790371'},8/22/2017,"Continuing improvements this week, new roof going in at Sky Creek Ranch! https://t.co/dlJk2Y15i6",Tarrant County,Keller,0,0,0,
27791309,9/2/2017,The work doesn't stop! Carpet cleaning because of roof leaks. Support the long term recovery?? https://t.co/VFpJxjKgPr,Harris County,Houston,1,1,1,0
{'$numberLong': '2174716572'},9/6/2017,"We are ready to get a new roof on this house! #whosnext @ McKinney, Texas https://t.co/6WLKpdZYx2",Collin County,McKinney,0,0,0,
{'$numberLong': '2473080878'},9/6/2017,"Hey Gussied Up Gals.. 

Sorry I have been MIA.  We had roof damage to our home and we were tryingâ¦ https://t.co/8i7k7t5ap5",Brazoria County,Pearland,1,1,1,-1
