user_id,created_at,text,county,city,topic_related,dis_related,dmg_related,sentiment
{'$numberLong': '2870808849'},8/29/2017,Where Fort Bend residents can go for shelter https://t.co/AeTU0a8yyb,Fort Bend County,Missouri City,1,1,1,0
35246187,8/31/2017,David Reesman of Sprint has been here everyday since the Church opened as a shelter. He has made?? https://t.co/hU4R5fTBts,Harris County,Atascocita,1,1,1,0
1322927220,9/5/2017,Mary Kay Hosts 9th Annual Suits for Shelters Launch Party https://t.co/R4iMkCMHVn,Dallas County,Addison,1,0,0,0
198229305,9/7/2017,Volunteered today at the Red Cross Shelter in Downtown Houston. Dispensed glasses to hundreds ofâ¦ https://t.co/240x4WG9oN,Harris County,Houston,1,1,1,0
{'$numberLong': '2409613680'},8/22/2017,Animal Shelter Renovation https://t.co/v6IjgTPfWO,Dallas County,Seagoville,1,0,0,0
{'$numberLong': '2850410380'},8/27/2017,"Angleton shelter offers safe, dry berth https://t.co/zGaiuPgOe3",Brazoria County,Angleton,1,1,1,0
{'$numberLong': '2864061615'},8/30/2017,Powerhouse Church steps up as emergency shelter during storm https://t.co/aSh5S48YLA,Fort Bend County,Hawks Landing,1,1,1,0
58624342,8/28/2017,"City of Dallas getting the mega shelter set up right now. They are preparing for 5,000 people to stay. Harvey?? https://t.co/RFetZDUAbg",Dallas County,Dallas,1,1,1,0
66763568,9/18/2017,The beautiful dogs at Montgomery County Animal Shelter Texas need homes! (And moreâ¦ https://t.co/7rXz4MxRWK,Montgomery County,Harper's Landing,1,0,0,0
58624342,9/8/2017,"New, non-profit homeless shelter is offering services to anyone who walks in the door, with nobody turned away.â¦ https://t.co/FMYSXvSJKD",Dallas County,Dallas,1,0,0,0
24595936,8/28/2017,"SHELTERS, SHELTERS, SHELTERS.  #Repost @thesteveneffect
?????????
#Houston #Shelter Info?? https://t.co/uQLF9Xb5Qc",Harris County,Houston,1,1,1,0
101673987,8/27/2017,They have opened a shelter in #Friendswood for those stranded and having to be evacuated. #Harvey #HurricaneHarvery,Harris County,Webster,1,1,1,0
{'$numberLong': '2883867506'},8/30/2017,Shelter in Deer Park comes together to celebrate child's birthday https://t.co/X7CGkTO93U,Harris County,Deer Park,1,1,1,0
{'$numberLong': '2865999088'},8/30/2017,Shelter Updates From Harris County Constables Pct. 4 https://t.co/d7MkcriQDl,Harris County,Humble,1,1,1,0
66763568,9/18/2017,The beautiful dogs at Montgomery County Animal Shelter Texas need homes! (And moreâ¦ https://t.co/rgK4FLSd03,Montgomery County,Harper's Landing,1,0,0,0
{'$numberLong': '2850400817'},9/17/2017,Baytown council approves no-kill goal for animal shelter https://t.co/ePCyli1dEG,Chambers County,Cove,1,0,0,0
43148307,9/10/2017,Spent the afternoon with @MMDogRescue at The Montgomery County animal shelter visiting withâ¦ https://t.co/GAjwnWieBg,Montgomery County,Harper's Landing,1,0,0,0
58624342,8/30/2017,"Authorities: more than 1,000 homes destroyed, nearly 50,000 damaged, and over 32,000 people in shelters across?? https://t.co/ZjdFXktW42",Dallas County,Dallas,1,1,1,0
35246187,8/31/2017,The family that owns Shipley's Donuts brought dozens of donuts to help the people in the shelter?? https://t.co/Q2P85spYcg,Harris County,Atascocita,1,1,1,0
50772075,9/10/2017,Today I've been helping Circle of Health International at the the Metropolis shelter forâ¦ https://t.co/GofeIHvIxY,Travis County,Austin,1,1,1,1
519240508,9/15/2017,They have shelter dogs at lucky lab coffee and I want one so bad! Plus it was their grandâ¦ https://t.co/tVOkoskK27,Travis County,Austin,0,0,0,
58624342,8/21/2017,"What a great weekend! Clear the Shelters DFW: More Than 7,000 Pets Adopted https://t.co/U4CLbG0HDk",Dallas County,Dallas,1,0,0,1
39627397,8/29/2017,"We have supplies for you. Food, diapers, clothing, water and shelter. If you need assistance we?? https://t.co/szmIBB2ZWG",Harris County,Houston,1,1,1,1
261469386,8/30/2017,Convention Center RT @BYxBREEZY: What shelter has been housing the most harvey victims in Houston ?! Please lmk,Harris County,Houston,1,1,1,0
{'$numberLong': '2875712475'},8/30/2017,Shelter Updates From Harris County Constables Pct. 4 https://t.co/UMXkxJuttX,Harris County,Hufsmith,1,1,1,0
{'$numberLong': '3406914552'},8/28/2017,#adorable #adoption #animal shelter #Carrolltontx #dogs #dog #funnydog #socute @ Downtown?? https://t.co/hToZ3HzRLE,Dallas County,Carrollton,1,0,0,0
40659739,8/28/2017,#MissouriCity area shelter @gotslimtv Marshall and Hightower high school! 4pm today!!!?? https://t.co/VmMkKRigrF,Harris County,Houston,1,1,1,0
{'$numberLong': '2340939938'},8/30/2017,Life changing.  I cannot put into words how I feel after spending 2 nights at this shelter.  I?? https://t.co/h6Sf7x6MYo,Dallas County,Dallas,1,1,1,0
58624342,9/2/2017,Miranda Lambert clears the shelters to save pets in Texas https://t.co/zQ4igpUXkr,Dallas County,Dallas,1,1,1,0
532340665,9/13/2017,Just dropped off hair supplies to the Arlington Life Shelter! Special thanks to our clients whoâ¦ https://t.co/k6HnIm3pe3,Tarrant County,Arlington,1,1,1,1
237575181,8/30/2017,George R. Brown Convention Center #aerial #houstontx #skyline #shelter #hurricaneharvey?? https://t.co/I23PsX7LeM https://t.co/1Mv9dACAeo,Harris County,Houston,1,1,1,0
58624342,8/28/2017,"Dallas shelters fill to capacity, supplies turned away as generosity overflows https://t.co/ETxNUXznyP",Dallas County,Dallas,1,1,1,0
{'$numberLong': '2883942865'},9/12/2017,Recovery shelter opens for Galveston... https://t.co/4eYLXOx3dL,Galveston County,Dickinson,1,1,1,0
14617482,8/29/2017,St Theresa parish in Sugar Land is now a shelter. #tour_archgh @archgh #harvey https://t.co/dbmjSLd7zM,Harris County,Houston,1,1,1,0
156120430,9/1/2017,At the make shift shelter helping them break down and get the school together for classes.?? https://t.co/T0n0ctAO1x,Fort Bend County,Rosenberg,1,1,1,0
846235952,9/13/2017,KISD was amongst the first organizations to open up their facilities and offer shelters to ourâ¦ https://t.co/T9uHeVrW5J,Fort Bend County,Katy,1,1,1,0
89097273,8/29/2017,"#Repost @Homerun_Darby (get_repost)
?????????
Help here we setting up a calling system/shelter/ relief?? https://t.co/scM6Q4LL9c",Harris County,Houston,1,1,1,0
118274711,9/7/2017,Spent some time with Dream today. She is from a Houston shelter andâ¦ https://t.co/pzlnljDpeD,Travis County,Austin,1,0,0,1
{'$numberLong': '2875712475'},9/7/2017,Woodlands Eco Realty Provides Shelter for Our Local Heroes https://t.co/8OuJAtxXJU,Harris County,Hufsmith,0,1,1,0
261469386,8/29/2017,@SchoolEm_Jonesy @MrRedMartian to a shelter?,Harris County,Houston,0,0,0,
540106506,8/27/2017,HOUSTON: George R. Brown Convention Center is now open as an #emergency shelter to the public as?? https://t.co/Z97yfm2BMM,Harris County,Houston,1,1,1,0
79876148,8/30/2017,"#MajicOnTheMove with @djackson32 at the GRB Red Cross Emergency Shelter, where they need?? https://t.co/ouGXnzIzON",Harris County,Houston,1,1,1,0
{'$numberLong': '2825322668'},8/25/2017,There is a FEMA dome open available for residents in Kleberg County seeking shelter from?? https://t.co/Mebn6DgfUA,Kleberg County,Ricardo,1,1,1,0
237575181,8/30/2017,George R. Brown Convention Center #aerial #houstontx #skyline #shelter #hurricaneharvey?? https://t.co/I23PsX7LeM https://t.co/qrsFgkQvXc,Harris County,Houston,1,1,1,0
11243562,8/29/2017,"Lots of shelters around town, think what would I want to eat if I was forced out of my house.?? https://t.co/FCWaKLRyor",Harris County,Houston,1,1,1,0
{'$numberLong': '2409613680'},8/31/2017,Shelters on standby for storm evacuees https://t.co/0LnP3975er,Dallas County,Seagoville,1,1,1,0
333435670,9/5/2017,Mary Kay Hosts 9th Annual Suits for Shelters Launch Party https://t.co/AkhSyNShs9,Dallas County,Dallas,1,0,0,0
{'$numberLong': '3012125493'},8/29/2017,"Anyone needing shelter ????? #lakewoodchurch #hurricaneharvey #houston @ Houston, Texas https://t.co/nWPwvycYGb",Harris County,Houston,1,1,1,0
19363416,9/2/2017,We spent several hours today helping out at austinpetsalive's overflow shelter for Hurricane?? https://t.co/sybc0a03F5,Travis County,Austin,1,1,1,1
58624342,8/27/2017,Houston Texans will shelter in Dallas tonight rather than return to Houston due to flooding. https://t.co/GuRpD9DkU0,Dallas County,Dallas,1,1,1,0
