Unnamed: 0,user_id,lon,lat,created_at,text,county,city,topic_related,dis_related,dmg_related,sentiment
299540,{'$numberLong': '2875758455'},-95.41870117,29.7173996,8/21/2017,Rice University-area neighborhood evacuated as hazardous materials found https://t.co/q8Ubyy7KNF,Harris County,West University Place,1,0,0,0
526490,{'$numberLong': '2850315393'},-95.33789825,29.91080093,8/27/2017,Flood victims in Greenspoint evacuate on buses and boats https://t.co/rffV9Lcjx8,Harris County,Greenwood Village,1,1,1,0
431944,{'$numberLong': '2661047017'},-94.81739865,29.31577714,8/24/2017,"In less than one week, we had a solar eclipse, moved in a college dorm and then evacuated for?? https://t.co/T7BQzoAov6",Galveston County,Galveston,1,1,1,-1
63686,36138306,-95.3832,29.7629,8/28/2017,If you live anywhere near or in these areas please evacuate NOW! At 2am the city will begin to?? https://t.co/hLKQopdoNl,Harris County,Houston,1,1,1,-1
18646,{'$numberLong': '2875348629'},-95.63230133,29.63019943,8/28/2017,"Memorial Hermann Sugar Land evacuating, Ben Taub plan finally in place https://t.co/472j76dzmd",Fort Bend County,Sugar Land,1,1,1,0
44795,389278968,-97.222801,32.9079821,8/26/2017,Hey are you hot ladies evacuated from Hurricane Harvey... Come up to The Compound in?? https://t.co/1lh8RI1VBZ,Tarrant County,Keller,1,1,1,1
541599,955077679,-100.891,34.9364,8/26/2017,"Did I evacuate too far? #hurricaneharvey #harvey #alfredtheagent @ Clarendon, Texas https://t.co/VEobB4cYSr",Donley County,Clarendon,1,1,1,0
194434,186882488,-97.7639,30.2672,8/27/2017,"Evacuate to #Austin they said, you need to leave #CorpusChristi they said. This is us trying to?? https://t.co/AOoFPNxSLX",Travis County,Austin,1,1,1,-1
235555,39788893,-95.515,29.9253,8/29/2017,@Latyce_McKenna created this video from her experience on yesterday while evacuating her home. @?? https://t.co/CiEFFyNHPE,Harris County,Hudson,1,1,1,0
25959,345449124,-97.39228004,27.70354059,8/25/2017,richard.perezrodriguez and @workaholic1984 are not evacuating.  Whether here in Corpus Christi?? https://t.co/AnEbA0e5m8,Nueces County,Corpus Christi,1,1,0,0
190951,378640842,-95.68758977,29.78809817,8/29/2017,Entire neighborhoods being evacuated in West Houston due to Harvey??s floodwaters. https://t.co/00kyD5uUU0,Harris County,Houston,1,1,1,0
294318,{'$numberLong': '2211880316'},-97.22208093,27.61994143,8/31/2017,This is the first thing I've been able to sit down and complete since I evacuated for the?? https://t.co/0KTpfvATQc,Nueces County,Corpus Christi,1,1,1,0
379775,395413460,-95.52122733,29.58871568,8/26/2017,"If local officials say evacuate to avoid the eminent threat to your life, if something happens to you, was it God??s will or your choice?",Fort Bend County,Missouri City,1,1,0,-1
120581,96739727,-95.77686452,29.7154323,9/1/2017,Wen Chic clients please call if you have been evacuated to a local shelter!! #katytexas?? https://t.co/YuRLb85Jrt,Fort Bend County,Cinco Ranch,1,1,0,-1
179853,{'$numberLong': '3350041858'},-95.3832,29.7629,8/28/2017,#nbctoday #lesterholt #hurricaneharvey #flood #sinkingcar #rainheavy #evacuate #strongwind?? https://t.co/iMKGsQuCum,Harris County,Houston,1,1,1,0
386927,16229143,-97.42906285,27.70585949,8/26/2017,A couple kisses before boarding a bus to evacuate Corpus Christi as Hurricane Harvey bears down?? https://t.co/YMEfDnLjpS,Nueces County,Corpus Christi,1,1,1,-1
473168,58624342,-96.77401775,32.79755357,8/30/2017,Port Arthur residents had to be re-evacuated after their shelter took on flood water KJA?? https://t.co/mTLvezyCm5,Dallas County,Dallas,1,1,1,0
542306,64220628,-97.7639,30.2672,8/30/2017,The city of Austin appeals to the musicians of the city to play in the shelters of the evacuated?? https://t.co/ajQ7f5pvw6,Travis County,Austin,1,1,0,0
173511,19292247,-98.6161,27.8792,8/28/2017,"Evacuated Friday morning to my parents ranch in Freer, TX. It was more like a weekend camping?? https://t.co/24nCBGAQl8",Duval County,Freer,1,1,1,0
179889,{'$numberLong': '3350041858'},-95.3832,29.7629,8/28/2017,#nbctoday #lesterholt #dylandreyer #hurricaneharvey #heavyrain #sinkingcar #evacuate #strongwind?? https://t.co/3D4EgCVqSf,Harris County,Houston,1,1,1,0
416097,58624342,-96.77401775,32.79755357,8/25/2017,Steady rain now as we approach Corpus. And a steady stream of cars evacuating the area. Harvey NBC DFW https://t.co/RqJM2HKCSf,Dallas County,Dallas,1,1,1,0
343191,930470384,-95.7316,29.6261,9/2/2017,"After evacuating last Friday, being in Dallas for 5 days and then in Cypress for 3, I am happy?? https://t.co/sXgjnDSZYD",Fort Bend County,Pecan Grove,1,1,1,1
412402,236705290,-97.1395,27.9019,8/24/2017,"I'm packing up and getting ready to evacuate #hurricaneharvey @ Aransas Pass, Texas https://t.co/vv5e7GqaC6",San Patricio County,Aransas Pass,1,1,1,0
96065,261469386,-95.364707,29.746744,8/28/2017,People in disaster movies can't evacuate on two days notice and that shit scripted.,Harris County,Houston,1,1,1,0
500821,103986981,-95.36683117,29.75799513,8/29/2017,I'm still ???? about this! I would've evacuated. It's dark and scary at night. My children and I?? https://t.co/xuU1jzfhL6,Harris County,Houston,1,1,1,-1
345563,58624342,-96.77401775,32.79755357,8/25/2017,Are you evacuating from the Gulf Coast due to Hurricane Harvey? Call us - we'd like to talk 817-654-6300?? https://t.co/4QlkjvMfXy,Dallas County,Dallas,1,1,0,0
