idx,user_id,lon,lat,created_at,text,county,city,topic_related,dis_related,dmg_related,sentiment
2117,244281354,-97.61187,30.25712,9/17/2017,Fatality accident in #Austin on FM 973 near FM 969 #ATXtraffic https://t.co/8laei8AmfZ,Travis County,Hornsby Bend,1,0,0,0
23838,64217534,-97.31947022,32.72791305,8/21/2017,HitANDRun Fatality: Trinity Blvd. &amp,Texas,Tarrant County,1,0,0,0
96293,58624342,-96.77401775,32.79755357,8/26/2017,"There is no confirmation of any fatalities due to Harvey, Gov. Greg Abbott said Saturday afternoon. More:?? https://t.co/EnCYWiaOwn",Dallas County,Dallas,1,1,1,0
152031,1327407932,-97.13890076,32.58050156,9/7/2017,Mansfield police searching for suspect in hit-and-run fatality https://t.co/AfHz81BSg5,Tarrant County,Mansfield,1,0,0,0
153229,1327407932,-97.13890076,32.58050156,9/7/2017,Mansfield police searching for suspect in hit-and-run fatality https://t.co/V0CkFk4poB,Tarrant County,Mansfield,1,0,0,0
167419,1325216760,-97.14430237,33.22090149,9/17/2017,Fatality Accident (Denton County) https://t.co/vIvo9mBqvz,Denton County,Denton,1,0,0,0
167437,1325571776,-97.04930115,33.07749939,9/17/2017,Fatality Accident (Denton County) https://t.co/2DDgpd567u,Denton County,Highland Village,1,0,0,0
167439,1327040652,-96.8839035,33.09769821,9/17/2017,Fatality Accident (Denton County) https://t.co/mtWW0gAiKE,Denton County,The Colony,1,0,0,0
167474,{'$numberLong': '2241407570'},-96.96160126,33.16870117,9/17/2017,Fatality Accident (Denton County) https://t.co/VC9lQEZlVG,Denton County,Camp Dallas,1,0,0,0
205155,890246688,-100,31,8/26/2017,1 fatality and multiple injuries have been reported after the devastation of #HurricaneHarvey.?? https://t.co/6Gq81GoXBo,Menard County,USA,1,1,0,-1
379691,58624342,-96.77401775,32.79755357,8/26/2017,"At least 1 fatality, multiple injuries reported in Rockport | HurricaneHarvey txwx?? https://t.co/njcZ9TWYld",Dallas County,Dallas,1,1,0,0
425842,24454553,-95.4070703,29.7772765,9/16/2017,"Fatality on I-10 / Katy Fwy EB at Patterson overpass, person was laid out on fast lane of the highway. Pedestrian maybe? Check your people.",Harris County,Houston,1,0,0,-1
