idx,user_id,lon,lat,created_at,text,county,city,topic_related,dis_related,dmg_related,sentiment
238256,35565649,-95.3660812,29.7480202,9/2/2017,"So many thoughts and emotions...
On my way from the hospital with my mom to go and get my dad?? https://t.co/5QDI9kDPqA",Harris County,Houston,0,0,0,
239252,17628455,-95.39964322,29.7103956,9/2/2017,"Visiting mom. Please keep her in your prayers (@ Houston Methodist Hospital - @hmdigitalmkt in Houston, TX) https://t.co/NgJ8R5wXx9",Harris County,Houston,0,0,0,
241728,16881655,-96.83676,32.81199,9/15/2017,Dr. Tofu will see you now #alternativemedicine #scottishfold #catsofinstagram @ Parkland Hospital https://t.co/vs9q457Qp4,Dallas County,Dallas,0,0,0,
242879,{'$numberLong': '4586339233'},-98.5452795,29.353342,8/21/2017,We're excited to find our next RN - Med... at Southwest General Hospital - are you the one? Click to apply! #RT?? https://t.co/Sxi9gmD2MQ,Bexar County,San Antonio,0,0,0,
247028,144609822,-98.57854,29.50821,9/2/2017,One sucker punch won't stop me. @ University Hospital - UTHSC-San Antonio https://t.co/wqYKP9S9WT,Bexar County,San Antonio,0,0,0,
251050,316130071,-95.40172495,29.7077374,8/22/2017,Just posted a photo @ Texas Children's Hospital https://t.co/Y6UWNU8G4J,Harris County,Houston,0,0,0,
251137,{'$numberLong': '4586339233'},-98.5452795,29.353342,8/22/2017,"Southwest General Hospital is expanding our team! We have a RN - Surgical... role in #SanAntonio, TX open today!?? https://t.co/OpTi6lPorz",Bexar County,San Antonio,0,0,0,
252429,55626534,-97.3272,32.7274,8/30/2017,Just posted a photo @ John Peter Smith Hospital https://t.co/5771w5C7RW,Tarrant County,Fort Worth,0,0,0,
252437,55626534,-97.3272,32.7274,8/30/2017,Just posted a photo @ John Peter Smith Hospital https://t.co/9nuNyTwMqj,Tarrant County,Fort Worth,0,0,0,
253397,{'$numberLong': '740852753988214784'},-96.2797404,32.7475581,8/30/2017,Just posted a photo @ My Personal Little Mental Hospital https://t.co/tkPCmf8pX1,Kaufman County,Terrell,0,0,0,
253494,55626534,-97.3272,32.7274,8/30/2017,Just posted a photo @ John Peter Smith Hospital https://t.co/vNx4K6KAnj,Tarrant County,Fort Worth,0,0,0,
254490,20692656,-98.53231406,29.51500433,9/19/2017,"Visiting the patient. (@ The NIX Specialty Hospital in San Antonio, TX) https://t.co/qcIUlfbQWV",Bexar County,San Antonio,0,0,0,
256039,{'$numberLong': '2835942386'},-96.78324,32.78422,9/9/2017,Stirring up some trouble at the Night in White for @childrenstheone Health Hospital!â¦ https://t.co/Vm7CafDXSX,Dallas County,Dallas,0,0,0,
256629,50853815,-95.56121261,29.97105377,8/21/2017,"I'm at Tomball Regional Hospital in Tomball, TX https://t.co/d6T0NYm04v",Harris County,Houston,0,0,0,
