idx,user_id,lon,lat,created_at,text,county,city,topic_related,dis_related,dmg_related,sentiment
2155,244281354,-97.74693,30.39408,9/17/2017,Injury accident in #Austin on Great Hills Trail at 183 Research Blvd #ATXtraffic https://t.co/8laei8AmfZ,Travis County,Austin,1,0,0,0
12342,19203423,-97.90285462,30.36521036,9/8/2017,One day shy of 20 weeks since the injury and her return to the court doing what she loves! @â¦ https://t.co/RxXXEPus1B,Travis County,Longhorn Village,0,0,0,
12455,{'$numberLong': '3142363759'},-95.17995425,29.71171171,9/8/2017,Chiefs WR Tyeke Hill has pulled his hamstring and has no other reason to be in the game anymore... This is a lingering injury,Harris County,Pasadena,0,0,0,
30850,244281354,-97.61386,30.43656,8/20/2017,Injury accident in #Pflugerville on Pecan St E at Dessau Rd #ATXtraffic https://t.co/8laei8iLor,Travis County,Pflugerville,0,0,0,
33893,14194382,-97.69778795,30.40774358,8/20/2017,#deadlift day 5x5 185# ???????????????????????not too bad for my first heavy lift post injury last month?? https://t.co/AoYvggvl3r,Travis County,Austin,0,0,0,
34816,244281354,-97.69537,30.32123,9/3/2017,Injury accident in #Austin on Cameron Rd near US 290 #ATXtraffic https://t.co/8laei8iLor,Travis County,Austin,1,0,0,0
35034,{'$numberLong': '2978515034'},-97.94078,29.86671,9/3/2017,Don't ever wish injury on?? https://t.co/AmgUwOWzxC,Hays County,San Marcos,0,0,0,
42248,244281354,-97.7902,30.15768,9/10/2017,Injury accident in #Travis on I-35 near Brandt Rd #ATXtraffic https://t.co/8laei8iLor,Travis County,Austin,1,0,0,0
42295,244281354,-97.63947,30.20315,9/10/2017,Injury accident in #Austin on FM 973 at Hwy 71 #ATXtraffic https://t.co/8laei8iLor,Travis County,Austin,1,0,0,0
43318,244281354,-97.72849,30.23596,9/11/2017,Injury accident in #Austin on Woodland Ave near Burton Dr #ATXtraffic https://t.co/8laei8iLor,Travis County,Austin,1,0,0,0
46548,261469386,-95.36506,29.74713,8/25/2017,Why would his injury prone ass turn down 17?,Harris County,Houston,0,0,0,
59377,244281354,-97.80444,30.24789,9/3/2017,Injury accident in #SouthAustin on 360 at Mopac #ATXtraffic https://t.co/8laei8iLor,Travis County,Austin,1,0,0,0
60335,64217534,-97.31947022,32.72791305,9/20/2017,Texas college football player dies after neck injury during game https://t.co/lflU7aRPdx,Tarrant County,Fort Worth,0,0,0,
63568,244281354,-97.74706,30.22298,8/28/2017,Injury accident in #Austin on Woodward St near I 35 Service Rd NB #ATXtraffic https://t.co/8laei8iLor,Travis County,Austin,1,0,0,0
