Unnamed: 0,user_id,lon,lat,created_at,text,county,city,topic_related,dis_related,dmg_related,sentiment
188684,68760343,-95.37203836,29.78703317,8/29/2017,Pass this on info #cajunnavy #rescue @ Kaboom Books https://t.co/6WXYAMmLdL,Harris County,Houston,0,0,0,
10841,21564704,-97.73921,30.34303,9/8/2017,Sophie stole jelligerent's chair! #maltipoo #rescue #adoptdontshop #doggyplaydate @ Yard Bar https://t.co/9hF2VBt2bb,Travis County,Austin,0,0,0,
532114,126933196,-95.2649,29.9949,8/29/2017,This jacket ain't keeping no one dry... Fiddle stix! (Humble rescue efforts are underway...?? https://t.co/iIvhq0QQkT,Harris County,Humble,0,0,0,
27535,918439968,-100,31,9/11/2017,"Big shout out to Country Loving Bully Rescue and their fearless leader, Joseph. Joe helped usâ¦ https://t.co/8sKnH8WRhe",Menard County,USA,0,0,0,
33069,199438862,-95.6189,30.0989,8/31/2017,"#rescue #boats #needed #tomballtx ???? @ Tomball, Texas https://t.co/zHbQcXOxIN",Harris County,Tomball,1,1,1,-1
453578,36948354,-95.4674,29.685,8/27/2017,4 helicopter conducting rescues in the #meyerland #bellaire area right now #hurricaneharvey?? https://t.co/1082BmOezt,Harris County,Houston,1,1,1,0
260773,18837538,-98.4802529,29.44281756,9/1/2017,We are donating 10% of our market sales this weekend to Gods Dogs Rescue Gulf Coast marathon?? https://t.co/oGgbYydkMW,Bexar County,San Antonio,0,0,0,
430150,58624342,-96.77401775,32.79755357,8/30/2017,"NEW: the late night rescue convoy is coming into neighborhoods near Addicks in NW Houston. Good 15 boats, trucks?? https://t.co/bErs0liHZS",Dallas County,Dallas,1,1,1,0
264064,64217534,-97.31947022,32.72791305,9/14/2017,"One person rescued from house fire in S Fort Worth overnight and airlifted to Parkland, per FWFD https://t.co/Zid7Cmyuel",Tarrant County,Fort Worth,1,0,0,0
246209,{'$numberLong': '2850400817'},-94.87539673,29.77070045,8/31/2017,"Pets, possessions and people all rescued from Baytown floodwaters https://t.co/scSbtRndmY",Chambers County,Cove,1,1,1,0
405867,{'$numberLong': '747248654801580033'},-95.3832,29.7629,8/28/2017,Information for boat &amp; helicopter rescues! #houston #texas #houstontexas #hurricane?? https://t.co/OYK0N40XQV,Harris County,Houston,1,1,1,1
303345,199438862,-95.3832,29.7629,8/29/2017,11942 Ticonderoga Rd 77004 3 adults 1 elderly &amp; 3 kids &amp; 4 dogs need #rescue #plz #help &amp; #share?? https://t.co/g9osWFcAny,Harris County,Houston,1,1,1,-1
193306,1111890198,-97.7639,30.2672,8/28/2017,"#Repost @bombonhouston
?????????
Download the Zello app for rescues. Steady praying for Houston &amp; our?? https://t.co/ukE7zAZkLE",Travis County,Austin,0,0,0,
539432,1886876654,-95.3832,29.7629,8/28/2017,Rescue teams are still working &amp; heavy disaster relief efforts are underway for those displaced?? https://t.co/MLhZ8nsHEF,Harris County,Houston,1,1,1,0
