user_id,lon,lat,created_at,text,state,county,city,topic_related,dis_related,dmg_related,sentiment
249818911,-95.26404,29.77562,8/29/2017,Closed due to flooding. in #EastSide on 610 E Lp SB between The I-10 Baytown E Fwy and The Port Of Houston #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0
249818911,-95.26597,29.71838,9/13/2017,"Stall cleared in #EastSide on 610 E Lp NB at Manchester, stop and go traffic back to Crestmont, delay of 15 mins #traffic",Texas,Harris County,Houston,1,0,0,0
249818911,-95.44003,29.67924,9/14/2017,Accident. three center lanes blocked. in #MeyerPark on 610 S Lp WB after Stella Link Rd #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,0,0,0
249818911,-95.46028,29.71666,8/23/2017,"Stall cleared in #MeyerPark on 610 W Lp NB before Fournace, stop and go traffic back to S. Post Oak, delay of 10 mins #traffic",Texas,Harris County,Bellaire,1,0,0,0
249818911,-95.45575,29.76622,9/6/2017,"Accident cleared on 610 W Lp NB before Woodway, stop and go traffic back to 69 The SW Fwy, delay of 8 mins #traffic https://t.co/vuUN2yElDh",Texas,Harris County,Houston,1,0,0,0
249818911,-95.3359,29.80841,9/14/2017,Exit ramp accident in #NeSide on 610 N Lp EB at 69 Eastex Fwy #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,0,0,0
249818911,-95.46043,29.72863,8/28/2017,High water affecting all main lanes on US-69 NB at The 610 W Lp #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0
249818911,-95.54229,29.67577,9/12/2017,"Accident blocks 3 left lanes in #SwSide on 69 SW Fwy Outbound at Bissonnet, stop and go traffic back to The 610 W Lp, delay of 18 mins",Texas,Harris County,Houston,1,0,0,0
249818911,-95.46023,29.72903,9/18/2017,"Stop and go traffic in #Houston on 610 W Lp NB between 69 The SW Fwy and Hempstead, delay of 14 mins #traffic https://t.co/vuUN2ymKeH",Texas,Harris County,Houston,1,0,0,0
249818911,-95.28931,29.6973,9/13/2017,"Accident, right lane blocked in #SeSide on 610 S Lp EB at The 45 Gulf Fwy, stop and go traffic back to S. Wayside, delay of 12 mins #traffic",Texas,Harris County,Houston,1,0,0,0
