user_id,lon,lat,created_at,text,state,county,city,topic_related,dis_related,dmg_related,sentiment
249818911,-95.0314,29.9356,8/31/2017,Closed due to chemical plant emergency in #Crosby on Hwy 90 E EB west of Bohemian Hall Rd #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Crosby,1,0,0,0
249818911,-94.54676,29.83497,9/2/2017,Closed in #Chambers on I-10 EB near Jenkins Rd #traffic https://t.co/vuUN2yElDh,Texas,Chambers County,Winnie,1,0,0,0
41679815,-97.31423,32.86089,8/29/2017,"Road construction, left lane closed in #FortWorth on 35W NB at Western Ctr Blvd, stop and go traffic back to N Lp 820, delay of 4 mins",Texas,Tarrant County,Fort Worth,1,0,0,0
249818911,-95.37455,29.76009,9/8/2017,Exit ramp closed due to flooding in #Downtown on I-45 NB north of Dallas St #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,Houston,1,1,1,0
249818911,-95.49181,29.72345,8/27/2017,Closed due to flooding. in #SwSide on I-69 SW Fwy Outbound after The Westpark Tollway #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0
24595936,-95.36,29.73,8/27/2017,"Spring ISD closed next week.  Plan accordingly. #Repost @SmallsRoxanne
?????????
FYI: ATTN SPRING ISD?? https://t.co/hTVTTgPh5z",Texas,Harris County,Houston,0,0,0,
41679815,-96.89816,32.89586,9/2/2017,"Closed due to accident in #Dallas on 35E NB between Royal Ln and Forest Ln, stopped traffic back to Manana Dr #DFWTraffic",Texas,Dallas County,Dallas,1,0,0,0
28050895,-95.5394,29.5828,8/29/2017,"All stores were closed, so momz made me a cake! haha
Another year,?? https://t.co/7dUJzRG0Cr",Texas,Fort Bend County,Missouri City,0,0,0,
293301218,-95.26237927,29.59754694,8/27/2017,Too close!! @ Lakes Of Highland Glen https://t.co/h9gm6xW7qk,Texas,Harris County,Houston,0,0,0,
249818911,-95.34603,29.60018,8/30/2017,Exit closed due to flooding. in #Southside on S Sam Houston Tollway EB at Cullen #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,Houston,1,1,1,0
249818911,-95.06319,29.88605,9/1/2017,Closed due to chemical plant emergency. in #Crosby on Hwy 90 EB between Crosby Lynchburg and F.M. 1413 #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,Barrett,1,0,0,0
249818911,-95.33368,29.84064,8/28/2017,Closed due to flooding. in #NeSide on I-69 Eastex Fwy Inbound at Laura Koppe and The 610 N Lp #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,Houston,1,1,1,0
{'$numberLong': '2883867506'},-95.11699677,29.71380043,9/1/2017,Deer Park evacuation shelter closes https://t.co/HeP5gWAG2n,Texas,Harris County,Deer Park,0,1,1,0
249818911,-95.61785,29.78454,8/30/2017,Flooding.  three right lanes closed. in #WestSide on I-10 Katy Fwy Outbound at Eldridge Pkwy #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0
333416763,-96.78970337,32.90240097,9/14/2017,"Home retailer closing Dallas store, focusing on profitable California locations https://t.co/urcXYEu7tF",Texas,Dallas County,Dallas,0,0,0,
{'$numberLong': '3323159430'},-96.4512699,32.91302,8/24/2017,"One ??????? Month from Today! Heart of Texas ???????????????????? Figure Novice, Open &amp; Masters 35! Going to close?? https://t.co/VHbaeu3EUy",Texas,Rockwall County,Rockwall,0,0,0,
1349497614,-97.14436,33.21451,8/25/2017,"Pint Night with Noble Rey Brewing tonight at Midway Craft House from 8pm till close 
We will be?? https://t.co/suNJvemzjR",Texas,Denton County,Denton,0,0,0,
27573507,-97.940033,29.8833847,9/18/2017,Yoo Im closing out this weeks @UndergroundTues so I'm gonna have a special set in store forâ¦ https://t.co/cr11NQenj6,Texas,Hays County,San Marcos,0,0,0,
249818911,-95.64484,29.78785,8/30/2017,Closed due to high water in #Houston on Hwy 6 Both NB/SB between PARK ROW and Clay Rd. #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0
{'$numberLong': '2883942865'},-95.04399872,29.45660019,8/25/2017,Hurricane Harvey forces Texas ports to close https://t.co/CgwXi9idbt,Texas,Galveston County,Dickinson,0,1,1,0
