user_id,lon,lat,created_at,text,state,county,city,topic_related,dis_related,dmg_related,sentiment
{'$numberLong': '2870808849'},-95.52919769,29.52869987,8/24/2017,"1622 Middlesbrough Ln, Missouri City, TX 77459, $195,000 3 beds, 3 baths https://t.co/mLBkJBEiKS",Texas,Fort Bend County,Missouri City,0,0,0,
244281354,-97.78607,30.16706,8/24/2017,Off-ramp reopened in #Austin on I-35 SB at Slaughter Ln #ATXtraffic https://t.co/8laei8iLor,Texas,Travis County,Austin,1,0,0,0
260899949,-97.1266486,31.6245823,8/28/2017,I am looking for a buyer on 206 RUBY DELL LN #LacyLakeview #TX  #realestate https://t.co/i6hOp5iH1h https://t.co/bt8POwa4Yn,Texas,McLennan County,Lacy-Lakeview,0,0,0,
244281354,-97.7572,30.30892,8/21/2017,"Construction clear on Mopac SB near 35th St, stop and go traffic back to Anderson Ln, delay of 10 mins #ATXtraffic https://t.co/8laei8iLor",Texas,Travis County,Austin,1,0,0,0
41679815,-96.81036,32.87394,9/7/2017,"Accident cleared in #Dallas on Dallas N Tollway NB at Park Ln, stop and go traffic back to I-35 Stemmons Frwy, delay of 17 mins #DFWTraffic",Texas,Dallas County,Dallas,1,0,0,0
41679815,-96.75043,32.92099,9/12/2017,"Accident. two right lanes blocked in #Dallas on 635 LBJ Fwy EB at T I Blvd, stop and go traffic back to Coit Rd HOV Ln entrance #DFWTraffic",Texas,Dallas County,Dallas,1,0,0,0
244281354,-97.77049,30.19046,9/19/2017,"Accident cleared in #Travis on I-35 NB at William Cannon Dr, stop and go traffic back to Slaughter Ln, delay of 5 mins #ATXtraffic",Texas,Travis County,Austin,1,0,0,0
244281354,-97.68853,30.35855,8/26/2017,Accident cleared in #Travis on I 35 NB at Rundberg Ln #ATXtraffic https://t.co/8laei8iLor,Texas,Travis County,Austin,1,0,0,0
{'$numberLong': '2864014029'},-95.29299927,30.0095005,9/1/2017,"12319 Arkansas Post Ln, Humble, TX 77346, $243,000 3 beds, 2 baths https://t.co/3b7EzJzEil",Texas,Harris County,Bordersville,0,0,0,
41679815,-97.16009,33.20773,8/30/2017,Construction work in #Denton on 35E SB between Bonnie Brae and Teasley Ln #DFWTraffic https://t.co/4NzBppXRvr,Texas,Denton County,Denton,1,0,0,0
244281354,-97.674,30.40776,9/6/2017,Accident reported clear in #Austin on 35 Frontage Rd NB between Parmer and Howard Ln #ATXtraffic https://t.co/8laei8iLor,Texas,Travis County,Austin,1,0,0,0
244281354,-97.74601,30.40045,9/1/2017,Accident in #Austin on W Braker Ln at US 183 #ATXtraffic https://t.co/8laei8iLor,Texas,Travis County,Austin,1,0,0,0
41679815,-96.74594,32.94,8/25/2017,"Carfire cleared in #Richardson on 75 NB between Spg Vly Rd and Belt Line Rd, stop and go traffic back to Royal Ln, delay of 10 mins",Texas,Dallas County,Richardson,1,0,0,0
41679815,-96.8559,32.91821,8/30/2017,"Accident, two lanes blocked in #NorthDallas on 635 LBJ Fwy WB before Marsh Ln, stop and go traffic back to Hillcrest Rd, delay of 12 mins",Texas,Dallas County,Farmers Branch,1,0,0,0
{'$numberLong': '2864014029'},-95.29299927,30.0095005,9/4/2017,"14703 Julie Meadows Ln, Humble, TX 77396, $319,000 4 beds, 5 baths https://t.co/9E9Pw2dzng",Texas,Harris County,Bordersville,0,0,0,
1325562337,-96.41210175,32.89929962,9/14/2017,"3113 Wimberley Ln, Rockwall, TX 75032, $490,000 5 beds, 7 baths https://t.co/7W8UNBETWl",Texas,Rockwall County,Rockwall,0,0,0,
{'$numberLong': '2866011003'},-95.08709717,29.51160049,9/1/2017,"2028 Montezuma Ln, League City, TX 77573, $479,900 4 beds, 3 baths https://t.co/JKiO7Z8bFk",Texas,Galveston County,League City,0,0,0,
244281354,-97.69699,30.3631,9/18/2017,Accident in #Austin on N Lamar Blvd NB before W Rundberg Ln #ATXtraffic https://t.co/8laei8AmfZ,Texas,Travis County,Austin,1,0,0,0
{'$numberLong': '2875712475'},-95.5904007,30.09180069,9/19/2017,"31402 Bearing Star Ln, Tomball, TX 77375, $319,900 4 beds, 3 baths https://t.co/4UsK76TTwN",Texas,Harris County,Hufsmith,0,0,0,
41679815,-96.8559,32.91821,9/13/2017,"Accident. two left lanes blocked in #NorthDallas on 635 LBJ Fwy EB at Marsh Ln, stop and go traffic back to Denton Dr, delay of 7 mins",Texas,Dallas County,Farmers Branch,1,0,0,0
{'$numberLong': '2876492709'},-95.7220993,29.6678009,8/24/2017,"2103 Opal Field Ln, Rosenberg, TX 77469, $379,995 4 beds, 4 baths https://t.co/0dSrTjXGbi",Texas,Fort Bend County,Pecan Grove,0,0,0,
41679815,-96.71768,32.90035,9/16/2017,"Closed due to accident in #Dallas on 635 LBJ Fwy WB between Skillman St and Forest Ln, stopped traffic back to Jupiter Rd. #DFWTraffic",Texas,Dallas County,Dallas,1,0,0,0
41679815,-96.77157,32.85101,8/28/2017,"Accident cleared in #Dallas on 75 NB at Lovers Ln, stop and go traffic back to Mockingbird Ln, delay of 3 mins #DFWTraffic",Texas,Dallas County,Dallas,1,0,0,0
{'$numberLong': '2875385374'},-95.37310028,30.07189941,9/19/2017,"31046 Imperial Walk Ln #31046, Spring, TX 77386, $215,000 3 beds, 2 baths https://t.co/L8ubX1ZFlk",Texas,Harris County,Spring,0,0,0,
{'$numberLong': '876475766644625410'},-96.7574562,32.8655976,8/20/2017,"#Burglary - Business near 6262a Melody Ln, #Dallas, TX 75231, USA https://t.co/cfkR1PcpYr",Texas,Dallas County,Dallas,0,0,0,
