user_id,lon,lat,created_at,text,state,county,city,topic_related,dis_related,dmg_related,sentiment
244281354,-97.70701,30.31142,9/12/2017,Serious accident in #Austin on Cameron Rd north of Broadmoor Dr #ATXtraffic https://t.co/8laei8iLor,Texas,Travis County,Austin,1,0,0,-1
{'$numberLong': '4861703796'},-95.4839861,29.99762443,9/18/2017,Hey @fyfcstudios don't forget to.... #WalmartLog #3RShow @ Walmart Houston - 3450 FM 1960 Rd W https://t.co/uOCjqNoz13,Texas,Harris County,Bammel,0,0,0,
41679815,-97.19937,32.66333,9/7/2017,"Accident. two left lanes blocked in #Arlington on Hwy 287 NB at Little Rd, stopped traffic back to Turner Warnell Rd, delay of 31 mins",Texas,Tarrant County,Arlington,1,0,0,0
244281354,-97.71008,30.30931,9/10/2017,Accident cleared in #Austin on 35 Frontage Rd SB at 51st St #ATXtraffic https://t.co/8laei8iLor,Texas,Travis County,Austin,1,0,0,0
41679815,-96.91922,32.82406,8/30/2017,"Disabled vehicle, shoulder blocked in #Irving on Lp 12 NB at Grauwyler Rd, stop and go traffic back to Irving Blvd, delay of 4 mins",Texas,Dallas County,Irving,1,0,0,0
249818911,-95.52993,30.08649,8/28/2017,High water has all the mainlanes closed in #Spring on Hwy 99 Both EB/WB at Spg Stuebner Rd #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Willow,1,1,1,0
41679815,-97.41415,32.68369,9/19/2017,"Accident, right lane blocked in #BenbrookToFortWorth on 20 EB at Bryant Irvin Rd, stopped traffic back to I-20, delay of 24 mins #DFWTraffic",Texas,Tarrant County,Benbrook,1,0,0,0
41679815,-96.83555,33.0126,9/13/2017,"Disabled vehicle, right lane blocked in #Dallas on Bush Tnpke WB at Dallas N Tollway, stop and go traffic back to Preston Rd #DFWTraffic",Texas,Collin County,Dallas,1,0,0,0
249818911,-95.29092,29.95213,8/30/2017,Earlier closure due to flooding.  reopened. in #Humble on 69 Eastex Frontage Rd NB at Greens Rd #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0
41679815,-97.22336,32.66796,9/7/2017,"Accident. three left lanes blocked in #Arlington on 20 WB at Bowman Springs Rd, stopped traffic back to Green Oaks Blvd, delay of 14 mins",Texas,Tarrant County,Arlington,1,0,0,0
244281354,-97.6681,30.276,9/13/2017,"Accident, left lane blocked in #Austin on US 183 SB near Techni Ctr Dr, stop and go traffic back to Manor Rd, delay of 9 mins #ATXtraffic",Texas,Travis County,Austin,1,0,0,0
41679815,-96.97652,32.8371,9/20/2017,"Accident cleared in #Irving on 183 EB between Story Rd and Macarthur Blvd, stop and go traffic back to Hwy 161, delay of 9 mins #DFWTraffic",Texas,Dallas County,Irving,1,0,0,0
37519390,-97.9633,26.2944,8/26/2017,"One day I'm going to Travel to 4800 Azusa Canyon Rd in Irwindale,CA?? https://t.co/J8Bwpyek0h",Texas,Hidalgo County,Edcouch,0,0,0,
{'$numberLong': '2875720725'},-95.4673996,29.74920082,9/15/2017,"3525 Sage Rd #208, Houston, TX 77056, $169,900 1 bed, 1 bath https://t.co/1nfUgu79TI",Texas,Harris County,Houston,0,0,0,
{'$numberLong': '2875712475'},-95.5904007,30.09180069,9/18/2017,"1 Agg Rd, Tomball, TX 77375, $1,800,000 https://t.co/SkqUnGoPSI",Texas,Harris County,Hufsmith,0,0,0,
{'$numberLong': '715209574802784256'},-95.8082835,29.9502237,8/29/2017,"#USGS08068720 - Cypress Ck at Katy-Hockley Rd nr Hockley, TX
Height: 161.39ft ??? (157.3ft)
Flow: 6030cfs
https://t.co/qJid3CrRaP",Texas,Harris County,Katy Hockley Road,0,0,0,
250302410,-106.5436,31.81001,9/15/2017,Closed in #ElPaso on US 85 SB between I 10 and Anapra Rd #traffic https://t.co/nZ2qPGUpz9,Texas,El Paso County,El Paso,1,0,0,0
41679815,-96.86216,32.67103,9/6/2017,"Accident. two left lanes blocked in #Dallas on Hwy 67 NB near Red Bird Ln, stop and go traffic back to Pleasant Run Rd, delay of 20 mins",Texas,Dallas County,Dallas,1,0,0,0
1327680290,-97.19439697,33.00699997,9/13/2017,"1336 Ottinger Rd #5, Keller, TX 76262, $3,399,000 https://t.co/E75fvoAvqE",Texas,Denton County,Trophy Club,0,0,0,
{'$numberLong': '715211464953319424'},-95.5621664,29.65662136,8/27/2017,"#USGS08074800 - Keegans Bayou at Roark Rd nr Houston, TX 
Heavy Rain (1.64 in/hr) over the last 15 minutes 
https://t.co/pqikKM0IqN",Texas,Harris County,Houston,0,0,0,
55985053,-99.092953,29.94902,9/8/2017,We are looking for a buyer on 967 Pass Creek Rd E #Kerrville #TX  #realestate https://t.co/uKLEKG1mID https://t.co/j4gMta7zQ4,Texas,Kerr County,Shady Grove,0,0,0,
249818911,-95.44003,29.67924,9/14/2017,"Accident. three right lanes blocked. in #MeyerPark on 610 S Lp WB after Stella Link Rd, stop and go traffic back to S. Main, delay of 2 mins",Texas,Harris County,Houston,1,0,0,0
41679815,-96.82312,32.64209,9/8/2017,"Accident blocks two right lanes in #SouthDallas on 35E NB before 20, stop and go traffic back to Pleasant Run Rd, delay of 8 mins",Texas,Dallas County,Dallas,1,0,0,0
1325596464,-97.2161026,32.86100006,8/21/2017,"4109 Vance Rd, Fort Worth, TX 76180, $100,000 3 beds, 2 baths https://t.co/VzDDzelFrL",Texas,Tarrant County,North Richland Hills,0,0,0,
249818911,-95.38778,30.11054,8/29/2017,Closed due to high water in #Spring on Hwy 99 Both EB/WB between Rayford Rd and Farm-to-Market Rd 1314 #traffic https://t.co/vuUN2yElDh,Texas,Montgomery County,Rayford Road,1,1,1,0
244281354,-97.7902,30.15768,9/10/2017,Injury accident in #Travis on I-35 near Brandt Rd #ATXtraffic https://t.co/8laei8iLor,Texas,Travis County,Austin,1,0,0,0
{'$numberLong': '715209574802784256'},-95.8082835,29.9502237,9/2/2017,"#USGS08068720 - Cypress Ck at Katy-Hockley Rd nr Hockley, TX
Height: 158.4ft ??? (157.3ft)
Flow: 1320cfs
https://t.co/H5ZegejGHW",Texas,Harris County,Katy Hockley Road,0,0,0,
41679815,-96.77875,32.77474,9/7/2017,"Disabled cleared in #Dallas on 45 NB at I-30, stop and go traffic back to Overton Rd, delay of 11 mins #DFWTraffic https://t.co/4NzBppXRvr",Texas,Dallas County,Dallas,1,0,0,0
41679815,-96.82208,32.83669,8/28/2017,Accident. two right lanes blocked in #Dallas on Inwood Rd NB between Mockingbird Ln and University #DFWTraffic https://t.co/4NzBppXRvr,Texas,Dallas County,Dallas,1,0,0,0
{'$numberLong': '4861703796'},-95.4839861,29.99762443,9/3/2017,Sexy Boy #RRRpc @ Walmart Houston - 3450 FM 1960 Rd W https://t.co/jkdF4TfWid,Texas,Harris County,Bammel,0,0,0,
244281354,-97.85395,30.40374,8/23/2017,Accident on 620 at Bullick Hollow Rd #ATXtraffic https://t.co/8laei8iLor,Texas,Travis County,Austin,1,0,0,0
244281354,-97.7309,30.35615,9/1/2017,Accident reported in #Austin on W Anderson Ln at Burnet Rd #ATXtraffic https://t.co/8laei8iLor,Texas,Travis County,Austin,1,0,0,0
249818911,-95.29092,29.95213,8/27/2017,High water affection three lanes in #Humble on 69 Eastex Frontage Rd NB at Greens Rd #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0
1327680290,-97.19439697,33.00699997,9/13/2017,"3505 Caprock Ranch Rd #2, Roanoke, TX 76262, $218,900 3 beds, 3 baths https://t.co/YoZ1V4cu3O",Texas,Denton County,Trophy Club,0,0,0,
249876171,-98.48773,29.53337,9/1/2017,"Disabled vehicle cleared in #NorthSide on 281 NB at Isom Rd, stop and go traffic back to Jones Maltsberger, delay of 1 min #traffic",Texas,Bexar County,San Antonio,1,0,0,0
249876171,-98.56379,29.59961,9/8/2017,"Accident. center median blocked in #Bexar on Lp 1604 WB at NW Military Hwy, stop and go traffic back to Blanco Rd, delay of 9 mins #traffic",Texas,Bexar County,San Antonio,1,0,0,0
249876171,-98.53513,29.51162,9/14/2017,"Accident reported to be in the right shoulder in #SanAntonio on Lp 410 WB at Vance Jackson, stop and go traffic back to Jackson Keller Rd",Texas,Bexar County,San Antonio,1,0,0,0
249818911,-95.46063,29.71666,8/27/2017,Closed due to flooding. in #Bellaire on 610 W Lp Frontage Rd SB approaching Fournace Pl #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Bellaire,1,1,1,0
41679815,-96.07584,32.65065,9/19/2017,"Construction work in #VanZandtCounty on 20 EB at Van Zandt, stop and go traffic back to Hiram Rd, delay of 11 mins #DFWTraffic",Texas,Van Zandt County,Ronald Reagan Memorial Highway,1,0,0,0
249818911,-95.24771,29.60068,8/30/2017,Closed due to high water in #Harris on Sam Houston Pkwy Frontage Rd Both EB/WB between Blackhawk Blvd and Hwy 35 #traffic,Texas,Harris County,Houston,1,1,1,0
41679815,-97.06251,32.6707,8/27/2017,"Accident, left lane blocked in #Arlington on 360 SB at 20, stop and go traffic back to Mayfield Rd, delay of 4 mins #DFWTraffic",Texas,Tarrant County,Grand Prairie,1,0,0,0
249876171,-98.33308,29.56802,9/12/2017,"Accident, right lane blocked in #LiveOakSelmaArea on I-35 SB approaching Lp 1604, stop and go traffic back to Evans Rd, delay of 6 mins",Texas,Bexar County,Live Oak,1,0,0,0
249818911,-95.64484,29.78785,8/31/2017,Closed due to high water in #Houston on Hwy 6 Both NB/SB between PARK ROW and Clay Rd. #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Houston,1,1,1,0
{'$numberLong': '2427951294'},-98.6404037,29.4174004,8/23/2017,"This Still Counts????????????
Let Us Knockout Those Back 2 Schools
7708 Marbach Rd #J4T #SanAntonio?? https://t.co/XCm3j4V3E8",Texas,Bexar County,San Antonio,0,0,0,
{'$numberLong': '2864061615'},-95.8302002,29.74020004,9/16/2017,"23950 Stockdick School Rd, Katy, TX 77493, $765,567 7 beds, 4 baths https://t.co/2EayZGcNiW",Texas,Fort Bend County,Hawks Landing,0,0,0,
41679815,-97.06107,32.82935,8/29/2017,"Accident, left lane blocked in #FortWorth on 360 SB at 183, stop and go traffic back to E Harwood Rd, delay of 5 mins #DFWTraffic",Texas,Tarrant County,Fort Worth,1,0,0,0
249818911,-94.3509,29.86391,8/31/2017,Closed due to high water in #Jefferson on I-10 Both EB/WB between Brush Island Rd and Washington Blvd #traffic https://t.co/vuUN2yElDh,Texas,Jefferson County,Hamshire,1,1,1,0
41679815,-96.58022,33.39661,8/23/2017,"Disabled cleared in #VanAlystneGraysonCo.Line on 75 NB at Cnty Line Rd, stop and go traffic back to FM-455, delay of 10 mins #DFWTraffic",Texas,Collin County,Van Alstyne,1,0,0,0
