user_id,lon,lat,created_at,text,state,county,city,topic_related,dis_related,dmg_related,sentiment
236233563,-95.4457185,29.666931,8/27/2017,Lake 288 at Calumet. Stay off the roads people! Heed the warnings. #HurricaneHarvey #Houston?? https://t.co/8GOuvA8lqF,Texas,Harris County,Houston,1,1,1,-1
470622072,-95.36,29.73,8/27/2017,We are ok. People stay off the damn roads. I just watched someone drive on the sidewalks...and?? https://t.co/Z8Pp5xMOXe,Texas,Harris County,Houston,1,1,1,-1
64217534,-97.31947022,32.72791305,8/30/2017,"On a river formerly known as Tidwell Road, on a nighttime rescue operation with 4 guys from Lufkin, Tex. https://t.co/qhxPmpPvyZ",Texas,Tarrant County,Fort Worth,1,1,1,0
50324859,-97.03919988,32.89885618,8/30/2017,"After a long road trip, it just seems right that my final flight home is on American.?? https://t.co/GbWSZhd3W1",Texas,Tarrant County,Grapevine,0,0,0,
{'$numberLong': '2875712475'},-95.5904007,30.09180069,8/27/2017,TOMBALL ROAD UPDATE https://t.co/QoY1dTSudq,Texas,Harris County,Hufsmith,0,0,0,
1689961933,-94.99967229,29.80061182,9/14/2017,Road trip doggies! Buc-ee's stops are for gassing up and hydrating! #roadtrip #furbabies #buceesâ¦ https://t.co/Frq7qzmnrH,Texas,Harris County,Baytown,0,0,0,
36748553,-97.3986,27.6657,9/18/2017,"Took a small Road trip yesterday, nothing to trip about. #donteventriproadtrip #donteventripâ¦ https://t.co/M7SlpJN0dz",Texas,Nueces County,Corpus Christi,0,0,0,
249818911,-95.435,30.10574,9/15/2017,Road debris (carpet) blocks 2 center lanes. on I-45 N Fwy Outbound at The Hardy Tollroad #traffic https://t.co/vuUN2ymKeH,Texas,Harris County,Crossgate Village,1,0,0,0
1325523468,-97.00299835,32.76839828,8/22/2017,Why You Should Take a Road Trip to Caddo Lake State Park https://t.co/dOkXfpiHcV https://t.co/U5DlSixjiL,Texas,Dallas County,Grand Prairie,0,0,0,
42150915,-95.34138889,29.98444444,9/15/2017,"#FFCS on the road again. 

#Cranklife @ George Bush Intercontinental Airport https://t.co/bwJzhS23Ym",Texas,Harris County,Houston,0,0,0,
16929502,-97.03919988,32.89885618,8/30/2017,"Back on the road again. Beautiful weather. This summer has been very wet, windy, tolerable and?? https://t.co/mXIrnIrqiS",Texas,Tarrant County,Grapevine,0,0,0,
192905233,-95.38431538,29.54120853,9/1/2017,You don't need a reason to run ???????? just need a road #loverunning?? https://t.co/7TIhKQ33IN,Texas,Brazoria County,Pearland,0,0,0,
