kwd,num_topic_related,num_dis_related,num_dmg_related,neg_sentiment,neut_sentiment,pos_sentiment
accident,100,0,0,2,98,0
close,11,8,8,0,13,0
block,69,5,5,1,68,0
road,4,3,3,2,2,0
lane,80,20,20,0,80,0
highway,4,3,3,2,2,0
rd,34,8,8,1,33,0
ln,15,0,0,0,15,0
hwy,61,15,14,0,61,0
freeway,0,0,0,0,0,0
fwy,100,33,33,0,100,0
tollway,97,21,21,0,97,0
parkway,18,15,11,3,15,3
loop,1,0,0,0,0,0
lp,100,11,11,0,100,0
45,4,1,0,0,5,0
i45,3,5,2,2,2,1
10,5,1,1,0,5,0
i10,12,6,4,4,8,0
69,5,3,3,0,5,0
610,92,27,27,0,90,0
beltway8,6,5,3,3,3,0
belt8,0,1,0,0,1,0
airport,0,0,0,0,0,0
