user_id,lon,lat,created_at,text,state,county,city,topic_related,dis_related,dmg_related,sentiment
1938051709,-98.2364,26.2163,8/25/2017,"ayssaa.10 There Is Only One Happiness In This Life, To Love And Be Loved ?????????????? ????~George Sand @?? https://t.co/qILmWg276S",Texas,Hidalgo County,McAllen,0,0,0,
19094933,-95.3832,29.7629,9/6/2017,Wow! Season 1 of #Riverdale (which is $30 at Walmart) is $10 at #MovieExchange in #Houston! Whatâ¦ https://t.co/wwzm6gOwaI,Texas,Harris County,Houston,0,0,0,
1320359930,-96.76435211,32.77895431,9/4/2017,"Thank you, A. Maceo Smith Award Brunch, Saturday, 9/30/17 @ 10:00?? https://t.co/eTdoYOvykL",Texas,Dallas County,Dallas,0,0,0,
249818911,-95.0797,29.792379999999998,9/1/2017,Closed due to flooding. in #Baytown on I-10 Baytown E Fwy Frontage Rd Inbound at Monmouth #traffic https://t.co/vuUN2yElDh,Texas,Harris County,Mantu,1,1,1,0.0
249818911,-95.46799,29.783990000000003,9/7/2017,"Accident cleared in #WestSide on I-10 Katy Fwy Inbound at Silber, stop and go traffic back to Gessner, delay of 14 mins #traffic",Texas,Harris County,Houston,1,0,0,0.0
{'$numberLong': '715209574802784256'},-95.0938189,29.87633426,8/27/2017,"#USGS08072050 - San Jacinto Rv nr Sheldon, TX
Height: 10.51ft ??? (10ft)
Flow: N/Acfs
https://t.co/9Y0V5TegVs",Texas,Harris County,Magnolia Gardens,0,0,0,
249818911,-95.15355,29.77109,8/23/2017,"Emergency crews block 2 left lanes in #Channelview on I-10 baytown E Fwy Inbound at The E Sam Houston Pkwy, stop ... https://t.co/vuUN2yElDh",Texas,Harris County,Cloverleaf,1,0,0,0.0
60049419,-94.4245,33.463640000000005,8/28/2017,James 1:2-4; Romans 5:3-5; 1 Cor. 10:13 @ Faith Baptist Church https://t.co/A7eneRiinv,Texas,Bowie County,New Boston,0,0,0,
249876171,-98.50443,29.397070000000003,9/9/2017,"Accident. three left lanes blocked in #SanAntonio on I-10 EB at S Flores St., stop and go traffic back to I-35, delay of 10 mins #traffic",Texas,Bexar County,San Antonio,1,0,0,0.0
{'$numberLong': '715209574802784256'},-96.9047037,30.33937764,9/1/2017,"#USGS08109700 - Middle Yegua Ck nr Dime Box, TX
Height: 10.15ft ??? (10ft)
Flow: 1200cfs
https://t.co/eSNYXjTspO",Texas,Lee County,Old Dime Box,0,0,0,
