level_0,index,created_at,text,county,topic_related,dis_related,dmg_related,sentiment
48311,48311,9/12/2017,Praying for Duke Energy to come on! Lord thank you for our friendly?? https://t.co/MJ8lWuodn4,Pinellas County,1,1,1,-1
25622,25622,9/10/2017,Duke.,Broward County,0,0,0,
81317,81317,9/15/2017,For real! Duke Energy is as elusive as Bigfoot when it comes to restoring power ?????????????? https://t.co/TtLyLCQFVb,Orange County,1,1,1,-1
109811,109811,9/17/2017,"The Duke, John Wayne Museum, Winterset, IA

All of my pics are available for purchase @ $3 each.?? https://t.co/g4Dpf47oPL",Broward County,0,0,0,
205461,205465,9/3/2017,El Duke man ???? #oyebobby #eldukeman #bobbylush #miami #mia #Nicaragua #nica #reggae #reggaemusic?? https://t.co/Kdr91Oq4PC,Miami-Dade County,0,0,0,
46736,46736,9/12/2017,Tucker Duke's Boca Raton is Open today! Accepting cash and credit. While Tucker Duke's Deerfield?? https://t.co/nV1GFxpQKK,Palm Beach County,0,0,0,
79275,79275,9/15/2017,I have a Duke Energy sighting. I have cookies and donuts at my?? https://t.co/3zXwQbJLZz,Pinellas County,1,0,0,1
50238,50238,9/12/2017,The food truck will be at Tucker Dukes Deerfield Beach tonight starting at 530PM serving up a?? https://t.co/uGgkunGeoP,Broward County,0,0,0,
185274,185278,9/23/2017,"Game changer. Draft beer at the movie theater. Ninjago, here we co... (Duke's Cold Nose Brown Ale) https://t.co/z3nHHQHMmL",Duval County,0,0,0,
211144,211148,9/25/2017,We are back up and running on ubereats @ Tucker Duke's Lunchbox Deerfield Beach https://t.co/hiLFIXetA1,Broward County,0,0,0,
299044,299050,9/4/2017,"I'm at Duke's Brewhouse - @dukeslakeland in Lakeland, FL https://t.co/ow1QU6ym1q",Polk County,0,0,0,
92060,92060,9/16/2017,15 miles through #Oldsmar. I miss running over here. Massive tree down in the park and Duke?? https://t.co/MrRiLQMcxV,Pinellas County,0,0,0,
87561,87561,9/16/2017,Tucker Duke's Deerfield Beach is open and running a full menu again! We are accepting cash and?? https://t.co/HEA6MQst5u,Broward County,0,0,0,
17419,17419,9/10/2017,Duke and the National Guard is in Davenport #duke #nationalguard #hurricaneirma #hurricane prep?? https://t.co/ip5rszXfzQ,Polk County,0,1,0,0
230408,230412,9/27/2017,"Duke University, Durham, NC

All of my pics are available for purchase @ $3 each. ??Each of my?? https://t.co/cxWxhVojdZ",Broward County,0,0,0,
52233,52233,9/13/2017,Enjoying the sunset at hulabayclub with #mrtinder #lalocaisinthecity #hulabay #dukes @ Hula Bay?? https://t.co/Cq5TPEPc3N,Hillsborough County,0,0,0,
29661,29661,9/10/2017,Play date in the hurricane! Thunder and Fred duke it out after being couped up! @ Villages Of Pablo https://t.co/9rX33Fi8sG,Duval County,0,1,0,1
78830,78830,9/15/2017,Thank you Duke Energy boys...we are getting very excited for power.  Belleair Market is grilling?? https://t.co/egB8J0ulwG,Pinellas County,1,1,1,1
