level_0,index,created_at,text,county,topic_related,dis_related,dmg_related,sentiment
269388,269394,9/3/2017,Back to THE FUTURE @ Electric Vibes Radio https://t.co/dMUBK6vU3X,Hillsborough County,0,0,0,
18722,18722,9/10/2017,Making my debut @PacificoClub opening for @dj_bl3nd for @bradsteeves23 presents Electric?? https://t.co/AGVod3Oaf1,Broward County,0,0,0,
18710,18710,9/10/2017,Making my debut @PacificoClub opening for @dj_bl3nd for @bradsteeves23 presents Electric?? https://t.co/u8mLJdoyuJ,Broward County,0,0,0,
51431,51431,9/12/2017,"@kioken Yeah this is hard. My sister somehow has power, water and electric but can't stay here she's got roommates",Collier County,1,0,0,-1
113381,113381,9/17/2017,Under Electric Skies (AllSaints Remix) officially drops tomorrow. Be sure to check out our first?? https://t.co/OVk7A4d8j5,Miami-Dade County,0,0,0,
282875,282881,9/3/2017,"I'm at Electric Umbrella Restaurant - @waltdisneyworld in Lake Buena Vista, FL https://t.co/Mh3c6artWH",Orange County,0,0,0,
163790,163790,9/22/2017,#FeelTheVibes @ Electric Vibes Radio https://t.co/XCt0hAwwhN,Hillsborough County,0,0,0,
72472,72472,9/14/2017,Day 4 &amp; u see duke_energy on your road to repair electric ???????????????????????? @ BFA Eagles Landing Ranch https://t.co/axcD9Vx9q8,Pasco County,1,1,1,0
18765,18765,9/10/2017,Making my debut @PacificoClub opening for @dj_bl3nd for @bradsteeves23 presents Electric?? https://t.co/YL0P1fAlxn,Broward County,0,0,0,
177150,177150,9/23/2017,Bought a chainsaw (electric) today. Need it to clear the tree in the backyard.,Pinellas County,0,0,0,
46174,46174,9/12/2017,Jam with Electric harp in Casatua #casatua #miami #miamibeach #harpist #string #musician #music?? https://t.co/v9LNEGFlnE,Miami-Dade County,0,0,0,
43610,43610,9/12/2017,#irma update. No electric yet. vfreid scared but I have this cc: @allstate @karlaevents?? https://t.co/BgGeWgP0Xe,Miami-Dade County,1,1,1,-1
22467,22467,9/10/2017,"Good to know. Our electric just blinked. No trees down, no flooding. #Irma #hurricaneIrma #anipalsIrma https://t.co/VZRKtYnEuN",Broward County,1,1,1,0
42093,42093,9/12/2017,"My power is still out,very hot n muggy in the house,not much ice left 2 keep the stuff in the cooler cold;pls fix the electric!",Duval County,1,1,1,-1
282985,282991,9/3/2017,Damn this is tasty. Perfect on hot summer days. - Drinking an Electric Boots @ Cycle Brewing - https://t.co/tG8PbHxuKY,Pinellas County,0,0,0,
81895,81895,9/15/2017,#OrlandoFree Electric range-working (Kissimmee) https://t.co/FuT89Dpvly https://t.co/Ju2QfjybVx,Orange County,0,0,0,
234705,234709,9/27/2017,When you realize you're moving back to the east coast in less than 2 months ???? @ Electric Daisy?? https://t.co/C2O5gvX72f,Orange County,0,0,0,
169242,169242,9/22/2017,Congratulations Thomas on your new Bintelli Beach Cruiser Electric Bicycle! #bintellibicycles?? https://t.co/YQTXMsXJAa,Sarasota County,0,0,0,
169627,169627,9/22/2017,This customers doing it right on the #firstdayoffall ???? in #Florida!!???? #FLAUNT #electric?? https://t.co/3N2nAjRlKm,Volusia County,0,0,0,
52226,52226,9/13/2017,"#Repost @TKM_Productions (get_repost)
?????????
Gimme and electric piano, some bongos, and a mojito?? https://t.co/0vqOMZF9cW",Broward County,0,0,0,
228332,228336,9/27/2017,"Hi, I'm S&amp;M Barbie!
____________________
Eyes: @urbandecay Electric Palette &amp; Hot Pink?? https://t.co/R1tO6u0jAe",Hillsborough County,0,0,0,
62848,62848,9/13/2017,TFW your electric power finally comes back after the storm.?? https://t.co/y0c2kKsC5T,Miami-Dade County,1,1,1,1
173494,173494,9/22/2017,#dontbelivemejustwatch @ Electric Vibes Radio https://t.co/cMtPnrDSuF,Hillsborough County,0,0,0,
20436,20436,9/10/2017,Boom Zoom welcome back @mrpaulpicasso @ Electric Vibes Radio https://t.co/Q09oyPbHxU,Hillsborough County,0,0,0,
68433,68433,9/14/2017,I am so glad to have power at home so that I can play my electric?? https://t.co/eUFnDp6pVW,Miami-Dade County,1,0,0,1
224489,224493,9/26/2017,Had a blast playing Electric Jungle with the homies @stranjeeex3  !?? https://t.co/7Y7kCOCBiw,Orange County,0,0,0,
19021,19021,9/10/2017,The Grande Finale Sea World Orlando For The Electric Ocean Was Absolutely Breath Taking.. A?? https://t.co/gnYnfXVdrZ,Orange County,0,0,0,
39772,39772,9/11/2017,#Minor #damage but without #electric and a #childish #curfew to protect the #rich. ?????????????????????????????????? @?? https://t.co/vc5poSDps7,Palm Beach County,1,1,1,-1
46637,46637,9/12/2017,Hey St. Pete! As the electric companies work on restoring power we want to let you know we are?? https://t.co/PscRIUEehg,Pinellas County,1,1,1,0
18726,18726,9/10/2017,Making my debut @PacificoClub opening for @dj_bl3nd for @bradsteeves23 presents Electric?? https://t.co/K9xg58gXRs,Broward County,0,0,0,
242332,242338,9/28/2017,"My Wibbly Wobbly Timey Wimey chair. It's a rocker/ electric recliner. It is awesome. @ Seffner,?? https://t.co/Ft0PIzmZ8N",Hillsborough County,0,0,0,
9655,9655,9/9/2017,Enjoying the electric while I can. This #pumpkinspicelatte is delicious. As prepared as I can?? https://t.co/EGoOR55njP,Hillsborough County,1,1,0,1
124666,124666,9/18/2017,Selfie with electric truck in our street!  #irma #nopowerday9 #sweat?? https://t.co/xtnMM601L1,Collier County,1,1,1,1
62254,62254,9/13/2017,I wonder what you save on your electric bill when you keep your?? https://t.co/YPctzXwM0S,Volusia County,1,0,0,0
