level_0,index,created_at,text,county,topic_related,dis_related,dmg_related,sentiment
11129,11129,9/9/2017,I received this from my father. It's a way of charging your cell without electricity. @ Florida https://t.co/SVq4p2j57k,Polk County,1,1,1,0
75801,75801,9/15/2017,The Lake Worth Store location is still experiencing Loss of electricity and waiting for FPL to?? https://t.co/2Flu4JFoaq,Palm Beach County,1,1,1,0
48691,48691,9/12/2017,"??? Good times in the salon today! So #grateful so safety and electricity in Winter Park, FL  post?? https://t.co/hcvvzHI7Mp",Orange County,1,1,1,1
66780,66780,9/14/2017,Hurricane Irma can't hold us down! Electricity is restored and we are taking client appointments?? https://t.co/lne3PdHp7C,Palm Beach County,1,1,1,1
5281,5281,9/9/2017,Phone charger with out electricity #damitIrma #thestrugleisreal?? https://t.co/1zlIXn44nK,St. Lucie County,1,1,1,-1
46022,46022,9/12/2017,???????? bartender humor while I'm in my second day of roughing it with no electricity #damuirma?? https://t.co/NUvl8zizwP,Polk County,1,1,1,1
30085,30085,9/10/2017,"We lost electricity....let's the camping begin ! @ Fish Hawk, Florida https://t.co/1G3iwMDV1L",Hillsborough County,1,1,1,1
85091,85091,9/15/2017,"That was the longest week ever. So happy and ready for #NoPantsWeekend with electricity! (at @flytpa in Tampa, FL) https://t.co/0bVxtV0Jo1",Hillsborough County,1,1,1,1
85284,85284,9/15/2017,"????????electricity...but still standing here doing to-go orders, deliveries and ubereats!!!! @ Latin?? https://t.co/hAlDohX7jB",Miami-Dade County,1,1,1,1
126243,126243,9/19/2017,I HAVE ELECTRICITY AGAIN! Thank you Duke Energy.,Hillsborough County,1,1,1,1
45946,45946,9/12/2017,@CollierEM Will there be pickup on Saturday? Or will that depend on the restoration of electricity?,Collier County,1,1,1,0
330902,330908,9/7/2017,"You don??t need electricity to READ or PLAY GAMES!! Thursday, September 7, 2017 we will be open?? https://t.co/sgtuCeqM8h",Broward County,1,0,0,
15054,15054,9/9/2017,"In case of not electricity due to the hurricane, I have my emergency items handy. I wish I?? https://t.co/i0YB2V7KQA",Broward County,1,1,0,0
100058,100058,9/16/2017,Dinner and Rock and Roll Blues in Sanibel...celebrating Irma's aftermath....got electricity?? https://t.co/euqetNZkuj,Lee County,1,1,1,1
319874,319880,9/6/2017,#irma might take out my electricity but I'll have the best smelling home in the neighborhood ?????? https://t.co/whqYmjQmsQ,Orange County,1,1,1,1
74600,74600,9/15/2017,Don't get me wrong I'm glad all I lost was electricity. I'm completely sadden that MANY other?? https://t.co/5yAEfgeF50,Duval County,1,1,1,-1
