level_0,index,created_at,text,county,topic_related,dis_related,dmg_related,sentiment
5701,5701,9/9/2017,"#hurricaneirma
#Repost) ???? Alert  channel 7 just informed that FPL ???? will be shutting down the?? https://t.co/vPfc5Kw7QM",Broward County,1,1,0,0
36524,36524,9/11/2017,Dear looters and fake FPL guys that are robbers trust me it's not a good idea! #Sig #P229?? https://t.co/qdBQ8srOGk,Broward County,1,0,0,-1
74039,74039,9/14/2017,Thanks to #NBC6 #miami for the #insight as to how #FPL turns the #power back on after?? https://t.co/FXF5s5m5Db,Miami-Dade County,1,1,1,1
83585,83585,9/15/2017,"Please share! #FPL #hurricaneirma #poweroutage @ Broward County, Florida https://t.co/bPJVzxPQEo",Broward County,1,1,1,0
57729,57729,9/13/2017,POWER IS ON!!! Thank you FPL. Classes and studio open today 4:30pm Yin &amp; 6:00PM Power with?? https://t.co/ly6wk4URwH,Palm Beach County,1,1,1,1
74728,74728,9/15/2017,I'm so proud and humbled by the hard working people of FPL and the?? https://t.co/0kslYpd0y2,Miami-Dade County,1,1,1,1
52133,52133,9/13/2017,"We are back up and running. FPL is the real MVP @ Tamiami, Florida https://t.co/2zo4dsvMaJ",Miami-Dade County,1,1,1,1
81361,81361,9/15/2017,"Light Show???????????????? No ""FPL"" Needed???? If Your Man Shit Don't Do This In The Dark He's a fucking liar ?????? https://t.co/PcAFslyLhj",Miami-Dade County,1,0,1,0
73426,73426,9/14/2017,Dominion Power out of Richmond VA to the rescue in Sanford #Florida Gives one hope.  #FPL has it?? https://t.co/6tjUBaQzx4,Seminole County,1,0,0,0
91850,91850,9/16/2017,Dear fpl . Wig glued.. Waist snatched...face baked... I am sooooo ready to sing.. Please work a?? https://t.co/Rgi4mFpVDJ,Palm Beach County,0,0,0,
48577,48577,9/12/2017,"#hurricaneirma #fpl @ Broward County, Florida https://t.co/7Aic7DOH8F",Broward County,1,1,0,0
131108,131108,9/19/2017,"Oh joy! #FPL where are you? #swfl #HotAF #33967 @ San Carlos Park, Florida https://t.co/MXeQY7DJMY",Lee County,1,1,1,-1
57846,57846,9/13/2017,"Pure FAM Power ?????? 
#4naffairs #2fam #fpl #porsche #rwb #rwb964 #993tt #930 #930turbo #911targa?? https://t.co/ttiJloj9op",Broward County,1,0,0,0
41136,41136,9/11/2017,Power line down -road blocked sparking - fpl dispatched - bso on scene in #Broward on Stirling Rd WB west of S Flamingo Rd #SFLtraffic,Broward County,1,1,1,0
75612,75612,9/15/2017,#selfie #Miami #irma #hurricaneirma @insidefpl #FPL #fploutage?? https://t.co/UkRtmwaprk,Miami-Dade County,1,1,1,0
19932,19932,9/10/2017,Power line down -road blocked sparking - fpl dispatched - bso on scene in #Broward on Stirling Rd WB west of S Flamingo Rd #SFLtraffic,Broward County,1,1,1,0
72160,72160,9/14/2017,This is what we are #cooking on while #FPL takes there #time to fix the #power problem. We know?? https://t.co/htfR8C5W1T,Miami-Dade County,1,1,1,-1
42841,42841,9/12/2017,#afterirma #hurricaneirma #cleanup #southflorida #everbodyeverywhere #fpl #pse&amp;g @ Hollywood Beach https://t.co/raXD34xnYw,Broward County,1,1,1,0
36895,36895,9/11/2017,"Assessing the damages #hurricaneirma fpl #FPL please don't forget Homestead,FL 33033; without?? https://t.co/M4K7QCqEgt",Miami-Dade County,1,1,1,-1
113354,113354,9/17/2017,Let there be #light!!! #power on!! #floridapowerandlight #fpl #thanks #irma #hurricaneirma?? https://t.co/ZMVNL94xhY,Miami-Dade County,1,1,1,1
20271,20271,9/10/2017,"Phone is off, the power is gone. #Irma #fpl",Broward County,1,1,1,-1
37476,37476,9/11/2017,#Irma charging station wherever we can find #FPL we need power! @?? https://t.co/Ixln4VvHjK,Miami-Dade County,1,1,1,-1
120645,120645,9/18/2017,????????#hurricaneseason #Miami #sixmoreweeks #hurricanirma #hurricanemaria #fpl #areyoukidding @?? https://t.co/WJTH7WYXPx,Miami-Dade County,1,1,1,-1
128454,128454,9/19/2017,I'm over it!! Came home to a false announcement by FPL and STILL no power in my neighborhood!!?? https://t.co/vHsHFCJNiU,Miami-Dade County,1,1,1,-1
75587,75587,9/15/2017,@Regrann from skullyb_bundy  -  Me calling FPL for some Power ???????????????? try not to laugh...  -?? https://t.co/ANVhQuxpKS,Miami-Dade County,1,1,1,1
139936,139936,9/20/2017,Power or No Power?  Comment below ????????#fpl #irma #hurricaneirma #fplpower #miamilife?? https://t.co/kikUmg8SWY,Miami-Dade County,1,1,1,0
67995,67995,9/14/2017,We R doing OK.  Nursery clean up is ongoing. Doing laundry old school! Praying 4 FPL Power 2 B?? https://t.co/f67EzMDXKP,Palm Beach County,1,1,1,0
54368,54368,9/13/2017,"another day at FPL ?????? @ West Palm Beach, Florida https://t.co/6fO60WRfLh",Palm Beach County,1,1,1,0
59367,59367,9/13/2017,"Avoid 127th ave near Belen. Downed Trees everywhere, FPL?? https://t.co/goQKamUwf4",Miami-Dade County,1,1,1,-1
15969,15969,9/9/2017,"#GetReady #FPL #NoPower #TimeToPlaySpades ???????????????? @ Broward County, Florida https://t.co/5NlOCrqK2I",Broward County,1,1,1,0
