level_0,index,created_at,text,county,topic_related,dis_related,dmg_related,sentiment
40646,40646,9/11/2017,"Duke Energy power outage map. 20,000+ without power in Pinellas County, including the 5 humans &amp;?? https://t.co/yMUzohikhz",Pinellas County,1,1,1,0
51241,51241,9/12/2017,"When power outage after #hurricaneirma @ Warm Mineral Springs, Florida https://t.co/Qw5dVHETWN",Sarasota County,1,1,1,0
48036,48036,9/12/2017,A ground stop is in place at #OPF due to EQUIPMENT / OUTAGE #flightdelay https://t.co/Sg2XnDtOkK,Miami-Dade County,1,1,1,0
15558,15558,9/9/2017,Power outage in area in #UniversityParkSweetwater on SW 107th Ave Both NB/SB between US-41 and W Flagler St #SFLtraffic,Miami-Dade County,1,1,1,0
48439,48439,9/12/2017,Still a lot of power outages all over town but happy to be back out cruisin around! #lunch?? https://t.co/kuWuRFsFLS,Martin County,1,1,1,1
109923,109923,9/17/2017,"During the #hurricaneirma power outage, I did a little redecorating.  #halloween #halloweendecor?? https://t.co/Ni1oMkxsEz",Alachua County,1,1,1,1
42687,42687,9/12/2017,Due to #hurricaneirma huge power outage on the #spacecoast. The good news no #lightpollution and?? https://t.co/RWkLlD3zZd,Brevard County,1,1,1,0
22251,22251,9/10/2017,@GRUStormCentral Outage on NW 15th Pl &amp; NW 48th terrace,Alachua County,1,1,1,0
99804,99804,9/16/2017,"Cooling off with 2 #dogs and a #monkey #power outage in #fortlauderdale @ Fort Lauderdale, Florida https://t.co/DKLlcFnbdX",Broward County,1,1,1,1
42749,42749,9/12/2017,Due to the power outages in the area. Jax Diner will be closed on Tuesday. @ Jax Diner https://t.co/pNiZFOijJy,Duval County,1,1,1,0
47447,47447,9/12/2017,Thank goodness for my @Jeep 110V outlet. It is holding strong to recharge our phones and battery packs during this power outage. #IRMA,Polk County,1,1,1,0
40702,40702,9/11/2017,"Due to widespread POWER OUTAGES, many residents may be utilizing portable generators.  Please?? https://t.co/HtVmuzPHF9",Broward County,1,1,1,0
15493,15493,9/9/2017,Power outage in area in #UniversityPark on SW 107th Ave Both NB/SB between US-41 and W Flagler St #SFLtraffic https://t.co/US2j7IOBPL,Miami-Dade County,1,1,1,0
5519,5519,9/9/2017,Seriously? A power outage forecast?! This seems to be getting out of hand... #hurricaneirma @?? https://t.co/FFnd7wd9TS,Duval County,1,1,0,-1
20911,20911,9/10/2017,Central and North Florida Duke Energy Customers track and report power outages across the Duke?? https://t.co/fNgXswkarQ,Seminole County,1,1,1,0
56268,56268,9/13/2017,I KNOW THE WEATHER AND POWER OUTAGES AND CURFEW MIGHT BE ON YOUR MIND BUT COME TO THE MEETING!?? https://t.co/CCcw7vQvtx,Palm Beach County,1,1,1,0
91227,91227,9/16/2017,I'll bet the dukeenergy power outage reporting mechanism is a #RussianBot. Well played?? https://t.co/5V61JkgEMX,Pinellas County,1,1,1,-1
32526,32526,9/11/2017,"Day 2: The power outage: lost power from 11:30am Sunday morning until 1:15am Monday morning, so?? https://t.co/B3dTcMaKFw",Broward County,1,1,1,0
61010,61010,9/13/2017,A ground stop is in place at #OPF due to EQUIPMENT / OUTAGE #flightdelay https://t.co/Sg2XnDtOkK,Miami-Dade County,1,1,1,0
47887,47887,9/12/2017,We have no IGNITE this week due to power outage!!  Pleas stay safe and we will see you all next?? https://t.co/9mi0I2OudU,Lake County,1,1,1,-1
72477,72477,9/14/2017,"9??14??2017
Power outage afternoon nap #roomies @ Miami, Florida https://t.co/hJAG9chwyf",Miami-Dade County,1,1,1,0
104468,104468,9/17/2017,#irmaaftermath  Cooked potatoes before #irma to have in case of power outage. Finished them?? https://t.co/GG35TRixYW,Hillsborough County,1,1,1,0
215805,215809,9/1/2017,"All our dreams can come true, if we have the. Outage to pursue them.?? https://t.co/UeHA7ELWiF",Orange County,0,0,0,
61543,61543,9/13/2017,retro coffee for old school power outage #takethatirma @?? https://t.co/YqOj5ccXEX,Hillsborough County,1,1,1,0
23944,23944,9/10/2017,"Move along. No hurricane force winds to see here. Power outage tbd. @ Wekiva, Florida https://t.co/3IFTrjU2c6",Lake County,1,1,0,0
25529,25529,9/10/2017,Need my #greens to get through this #hurricaneirma stuff. We are ready for power outages. Got?? https://t.co/cQkz62tUjD,Osceola County,1,1,0,0
127162,127162,9/19/2017,Power outages in South Florida #SFLtraffic https://t.co/US2j7IOBPL,Miami-Dade County,1,1,1,0
32343,32343,9/11/2017,Power outages by county in South Florida #SFLtraffic https://t.co/US2j7IOBPL,Miami-Dade County,1,1,1,0
63951,63951,9/14/2017,"5 days in a row... ???? ???? ????
. 
..
...
.....
#blackout #outages #305 #downtown #overtown #miami?? https://t.co/CI6wGeiP5d",Miami-Dade County,1,1,1,-1
30707,30707,9/11/2017,Energy outage in some parts of Tampa and Orlando. If you still have electricity and were?? https://t.co/7isp5toUAS,Hillsborough County,1,1,1,0
65033,65033,9/14/2017,"A view of my apartment at night...
Thanks power outage... @ Town of?? https://t.co/VVZi4XRHqf",Lake County,1,1,1,-1
56874,56874,9/13/2017,"Glad to see #Irma go. ???? Lots of downed trees and power outages, but Orlando is ????. Lots of?? https://t.co/kcsVr8UeYH",Orange County,1,1,1,0
54301,54301,9/13/2017,Power outages in South Florida #SFLtraffic https://t.co/US2j7IOBPL,Miami-Dade County,1,1,1,0
52092,52092,9/12/2017,Trying to find power outage from @insidefpl is like pulling teeth! ?????? https://t.co/CNY1nWtoFn,Broward County,1,1,1,-1
37927,37927,9/11/2017,"Power outages in FL. Blue is 1-100 people, yellow is 100-300,000, red is more than 300,000?? https://t.co/mRq0K5jOVa",Orange County,1,1,1,0
344709,344715,9/8/2017,"IRMA UPDATE: Due to the potential for flooding, high winds, power outages, and generally?? https://t.co/HC7hIL5CZ4",Duval County,1,1,1,0
19061,19061,9/10/2017,"Comcast outage. No TV, no internet services at Miramar, Florida.

#hurricaneirma2017?? https://t.co/rMsjvnpqHr",Broward County,1,1,1,0
