created_at,text,county,topic_related,dis_related,dmg_related,sentiment,kwd
9/2/2017,Tailgate or blackout szn lmk??? #seniors #rollowls @ FAU Stadium https://t.co/xNHpg28Iz4,Palm Beach County,0,0,0,,blackout
9/12/2017,A huge thank you to @solarcity tesla_energy and @elonmusk .  In the  blackout aftermath of?? https://t.co/UFCS96MbFb,Orange County,1,1,1,1.0,blackout
9/27/2017,@dotsonc Blackout error?,Palm Beach County,0,0,0,,blackout
9/14/2017,"5 days in a row... ???? ???? ????
. 
..
...
.....
#blackout #outages #305 #downtown #overtown #miami?? https://t.co/CI6wGeiP5d",Miami-Dade County,1,1,1,-1.0,blackout
9/3/2017,Drinking  The Beer Formerly Known As Blackout (2012) by @EvilTwinBrewing at @redlightx2 ?? https://t.co/8CkHVqsTN8 #photo,Orange County,0,0,0,,blackout
9/17/2017,Cindy didn't get the message that yesterday was a blackout game @ Akershus Royal Banquet Hall https://t.co/2GOnO4uyx2,Orange County,0,0,0,,blackout
9/21/2017,Happy birthday Brice ???????? nobody else I'd rather blackout w on bayshore every year @ Gasparilla https://t.co/E7uHd7nuhT,Hillsborough County,0,0,0,,blackout
9/16/2017,Just saying blackout makdaman1 birthday fpl suck @ Anbadloville https://t.co/xxbhk8V6tl,Miami-Dade County,1,0,0,-1.0,blackout
9/12/2017,Praying for Duke Energy to come on! Lord thank you for our friendly?? https://t.co/MJ8lWuodn4,Pinellas County,1,1,1,-1.0,duke
9/10/2017,Duke.,Broward County,0,0,0,,duke
9/15/2017,For real! Duke Energy is as elusive as Bigfoot when it comes to restoring power ?????????????? https://t.co/TtLyLCQFVb,Orange County,1,1,1,-1.0,duke
9/17/2017,"The Duke, John Wayne Museum, Winterset, IA

All of my pics are available for purchase @ $3 each.?? https://t.co/g4Dpf47oPL",Broward County,0,0,0,,duke
9/3/2017,El Duke man ???? #oyebobby #eldukeman #bobbylush #miami #mia #Nicaragua #nica #reggae #reggaemusic?? https://t.co/Kdr91Oq4PC,Miami-Dade County,0,0,0,,duke
9/12/2017,Tucker Duke's Boca Raton is Open today! Accepting cash and credit. While Tucker Duke's Deerfield?? https://t.co/nV1GFxpQKK,Palm Beach County,0,0,0,,duke
9/15/2017,I have a Duke Energy sighting. I have cookies and donuts at my?? https://t.co/3zXwQbJLZz,Pinellas County,1,0,0,1.0,duke
9/12/2017,The food truck will be at Tucker Dukes Deerfield Beach tonight starting at 530PM serving up a?? https://t.co/uGgkunGeoP,Broward County,0,0,0,,duke
9/23/2017,"Game changer. Draft beer at the movie theater. Ninjago, here we co... (Duke's Cold Nose Brown Ale) https://t.co/z3nHHQHMmL",Duval County,0,0,0,,duke
9/25/2017,We are back up and running on ubereats @ Tucker Duke's Lunchbox Deerfield Beach https://t.co/hiLFIXetA1,Broward County,0,0,0,,duke
9/4/2017,"I'm at Duke's Brewhouse - @dukeslakeland in Lakeland, FL https://t.co/ow1QU6ym1q",Polk County,0,0,0,,duke
9/16/2017,15 miles through #Oldsmar. I miss running over here. Massive tree down in the park and Duke?? https://t.co/MrRiLQMcxV,Pinellas County,0,0,0,,duke
9/16/2017,Tucker Duke's Deerfield Beach is open and running a full menu again! We are accepting cash and?? https://t.co/HEA6MQst5u,Broward County,0,0,0,,duke
9/10/2017,Duke and the National Guard is in Davenport #duke #nationalguard #hurricaneirma #hurricane prep?? https://t.co/ip5rszXfzQ,Polk County,0,1,0,0.0,duke
9/27/2017,"Duke University, Durham, NC

All of my pics are available for purchase @ $3 each. ??Each of my?? https://t.co/cxWxhVojdZ",Broward County,0,0,0,,duke
9/13/2017,Enjoying the sunset at hulabayclub with #mrtinder #lalocaisinthecity #hulabay #dukes @ Hula Bay?? https://t.co/Cq5TPEPc3N,Hillsborough County,0,0,0,,duke
9/10/2017,Play date in the hurricane! Thunder and Fred duke it out after being couped up! @ Villages Of Pablo https://t.co/9rX33Fi8sG,Duval County,0,1,0,1.0,duke
9/15/2017,Thank you Duke Energy boys...we are getting very excited for power.  Belleair Market is grilling?? https://t.co/egB8J0ulwG,Pinellas County,1,1,1,1.0,duke
9/13/2017,Duke Energy is hoping to have power restored to most of the state by Sunday. Here's hoping that?? https://t.co/LUlvN03LXG,Polk County,1,1,1,0.0,duke
9/12/2017,Sooooo duke_energy I'm on hour 26 with no power and I can't it any longer... I promise if you?? https://t.co/pz8nXhzmNp,Orange County,1,1,1,-1.0,duke
9/23/2017,Great local beer selection and great Bartenders!... (Duke's Cold Nose Brown Ale) https://t.co/tYKOmmP9Km,Osceola County,0,0,0,,duke
9/15/2017,Belleair Market gave our hard working Duke Energy boys free bugers and hot dogs for lunch today.?? https://t.co/hRHVJHdoth,Pinellas County,1,1,1,1.0,duke
9/15/2017,BELLEAIR MARKET FINALLY HAA POWER...WOOHOO. Thank you Duke Energy and all of our amazing?? https://t.co/qsJR9Y2a1U,Pinellas County,1,1,1,1.0,duke
9/15/2017,@NickVitani I agree Nick. If I was betting Duke outright and Baylor +21.,Broward County,0,0,0,,duke
9/11/2017,"Duke Energy power outage map. 20,000+ without power in Pinellas County, including the 5 humans &amp;?? https://t.co/yMUzohikhz",Pinellas County,1,1,1,0.0,duke
9/12/2017,Thank you duke_energy !  #lightson #power #yay #backtonormal @ Asturia https://t.co/RYCHOz6gVX,Pasco County,1,1,1,1.0,duke
9/13/2017,Yes....  YES!  Keep me turned on!  Thanks for working so hard to get everybody turned on Duke.?? https://t.co/p3PGmBPkPZ,Pinellas County,1,1,1,1.0,duke
9/10/2017,Central and North Florida Duke Energy Customers track and report power outages across the Duke?? https://t.co/fNgXswkarQ,Seminole County,1,1,1,0.0,duke
9/14/2017,Shout out to Duke Energy and the 90's band Snap because I've got the power!!! @ Saint?? https://t.co/j1ACwqob9i,Pinellas County,1,1,1,1.0,duke
9/8/2017,"SURPRISE!!  ???????? UK dates this week!
??????10 September @ The Duke, Whitstable
??????11 September @ KFC?? https://t.co/ASMZ5qPAWE",Sarasota County,0,0,0,,duke
9/26/2017,"Past weekends #BurgeroftheDay:
Topped w/
Monterey Jack
Smoked Pork
Dukes Brown Ale Bacon Honey?? https://t.co/X9qJ3XYqVH",Duval County,0,0,0,,duke
9/28/2017,Happy Hour! #???? @ Tucker Duke's Lunchbox Deerfield Beach https://t.co/xvoEtDhtYj,Broward County,0,0,0,,duke
9/22/2017,Drinking a Duke's Cold Nose Brown Ale by @boldcitybrewery at @bahamabreeze ?? https://t.co/C2OW8QCi2M,Osceola County,0,0,0,,duke
9/19/2017,I HAVE ELECTRICITY AGAIN! Thank you Duke Energy.,Hillsborough County,1,1,1,1.0,duke
