index,date,Alachua,Baker,Bay,Bradford,Brevard,Broward,Calhoun,Charlotte,Citrus,Clay,Collier,Columbia,Desoto,Dixie,Duval,Escambia,Flagler,Franklin,Gadsden,Gilchrist,Glades,Gulf,Hamilton,Hardee,Hendry,Hernando,Highlands,Hillsborough,Holmes,Indian River,Jackson,Jefferson,Lafayette,Lake,Lee,Leon,Levy,Liberty,Madison,Manatee,Marion,Martin,Miami-Dade,Monroe,Nassau,Okaloosa,Okeechobee,Orange,Osceola,Palm Beach,Pasco,Pinellas,Polk,Putnam,Santa Rosa,Sarasota,Seminole,St. Johns,St. Lucie,Sumter,Suwannee,Taylor,Union,Volusia,Wakulla,Walton,Washington
0,2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2017-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1,2017-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2,2017-09-09,515.0,,,,315.0,7823.0,,60.0,,,,67.0,340.0,12.0,1250.0,,27.0,1583.0,,710.0,,47.0,18.0,,,62.0,,,,108.0,,1.0,695.0,,,,,,76.0,51.0,202.0,95.0,27403.0,3343.0,,,,58.0,,1629.0,215.0,144.0,,15.0,,95.0,174.0,,,32.0,14.0,8.0,118.0,1266.0,,,
3,2017-09-10,2459.0,71.0,1657.0,,25968.0,428378.0,,14115.0,1148.0,,,886.0,4753.0,275.0,4712.0,210.0,3679.0,14.0,,302.0,2229.0,,17.0,2886.0,,196.0,,30453.0,,15442.0,99.0,4.0,60.0,4391.0,,,288.0,7.0,715.0,29768.0,3791.0,21774.0,633480.0,52321.0,1066.0,196.0,5351.0,12728.0,6123.0,285376.0,4443.0,9821.0,7110.0,844.0,88.0,34880.0,8429.0,,28048.0,395.0,370.0,15.0,87.0,3853.0,1952.0,24.0,278.0
